"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
112,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",112,"19","",21204019,"","Ward","Ward"
113,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",113,"1","",21204001,"","Ward","Ward"
114,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",114,"20","",21204020,"","Ward","Ward"
115,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",115,"2","",21204002,"","Ward","Ward"
116,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",116,"3","",21204003,"","Ward","Ward"
117,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",117,"4","",21204004,"","Ward","Ward"
118,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",118,"5","",21204005,"","Ward","Ward"
119,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",119,"6","",21204006,"","Ward","Ward"
120,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",120,"7","",21204007,"","Ward","Ward"
121,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",121,"8","",21204008,"","Ward","Ward"
122,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",5,"Amahlathi",122,"9","",21204009,"","Ward","Ward"
123,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",6,"Great Kei",123,"1","",21203001,"","Ward","Ward"
124,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",6,"Great Kei",124,"2","",21203002,"","Ward","Ward"
125,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",6,"Great Kei",125,"3","",21203003,"","Ward","Ward"
126,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",6,"Great Kei",126,"4","",21203004,"","Ward","Ward"
127,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",6,"Great Kei",127,"5","",21203005,"","Ward","Ward"
128,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",6,"Great Kei",128,"6","",21203006,"","Ward","Ward"
129,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",6,"Great Kei",129,"7","",21203007,"","Ward","Ward"
130,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",130,"10","",21201010,"","Ward","Ward"
131,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",131,"11","",21201011,"","Ward","Ward"
132,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",132,"12","",21201012,"","Ward","Ward"
133,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",133,"13","",21201013,"","Ward","Ward"
134,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",134,"14","",21201014,"","Ward","Ward"
135,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",135,"15","",21201015,"","Ward","Ward"
136,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",136,"16","",21201016,"","Ward","Ward"
137,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",137,"17","",21201017,"","Ward","Ward"
138,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",138,"18","",21201018,"","Ward","Ward"
139,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",139,"19","",21201019,"","Ward","Ward"
140,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",140,"1","",21201001,"","Ward","Ward"
141,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",141,"20","",21201020,"","Ward","Ward"
142,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",142,"21","",21201021,"","Ward","Ward"
143,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",143,"22","",21201022,"","Ward","Ward"
144,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",144,"23","",21201023,"","Ward","Ward"
145,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",145,"24","",21201024,"","Ward","Ward"
146,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",146,"25","",21201025,"","Ward","Ward"
147,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",147,"26","",21201026,"","Ward","Ward"
148,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",148,"27","",21201027,"","Ward","Ward"
149,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",149,"28","",21201028,"","Ward","Ward"
150,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",150,"29","",21201029,"","Ward","Ward"
151,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",151,"2","",21201002,"","Ward","Ward"
152,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",152,"30","",21201030,"","Ward","Ward"
153,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",153,"31","",21201031,"","Ward","Ward"
154,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",154,"3","",21201003,"","Ward","Ward"
155,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",155,"4","",21201004,"","Ward","Ward"
156,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",156,"5","",21201005,"","Ward","Ward"
157,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",157,"6","",21201006,"","Ward","Ward"
158,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",158,"7","",21201007,"","Ward","Ward"
159,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",159,"8","",21201008,"","Ward","Ward"
160,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",7,"Mbhashe",160,"9","",21201009,"","Ward","Ward"
161,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",161,"10","",21202010,"","Ward","Ward"
162,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",162,"11","",21202011,"","Ward","Ward"
163,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",163,"12","",21202012,"","Ward","Ward"
164,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",164,"13","",21202013,"","Ward","Ward"
165,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",165,"14","",21202014,"","Ward","Ward"
166,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",166,"15","",21202015,"","Ward","Ward"
167,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",167,"16","",21202016,"","Ward","Ward"
168,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",168,"17","",21202017,"","Ward","Ward"
169,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",169,"18","",21202018,"","Ward","Ward"
170,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",170,"19","",21202019,"","Ward","Ward"
171,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",171,"1","",21202001,"","Ward","Ward"
172,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",172,"20","",21202020,"","Ward","Ward"
173,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",173,"21","",21202021,"","Ward","Ward"
174,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",174,"22","",21202022,"","Ward","Ward"
175,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",175,"23","",21202023,"","Ward","Ward"
176,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",176,"24","",21202024,"","Ward","Ward"
177,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",177,"25","",21202025,"","Ward","Ward"
178,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",178,"26","",21202026,"","Ward","Ward"
179,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",179,"27","",21202027,"","Ward","Ward"
180,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",180,"28","",21202028,"","Ward","Ward"
181,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",181,"29","",21202029,"","Ward","Ward"
182,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",182,"2","",21202002,"","Ward","Ward"
183,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",183,"30","",21202030,"","Ward","Ward"
184,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",184,"31","",21202031,"","Ward","Ward"
185,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",185,"3","",21202003,"","Ward","Ward"
186,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",186,"4","",21202004,"","Ward","Ward"
187,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",187,"5","",21202005,"","Ward","Ward"
188,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",188,"6","",21202006,"","Ward","Ward"
