"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
60,211,"ZAF","South Africa",3,"Gauteng",14,"City of Johannesburg",60,"City of Johannesburg",NA,"JHB","Metropolitan Municipality","Metropolitan Municipality","",""
61,211,"ZAF","South Africa",3,"Gauteng",15,"City of Tshwane",61,"City of Tshwane",NA,"TSH","Metropolitan Municipality","Metropolitan Municipality","",""
62,211,"ZAF","South Africa",3,"Gauteng",16,"Ekurhuleni",62,"Ekurhuleni",NA,"EKU","Metropolitan Municipality","Metropolitan Municipality","",""
63,211,"ZAF","South Africa",3,"Gauteng",16,"Ekurhuleni",63,"Lesedi",NA,"GT423","Local Municipality","Local Municipality","",""
64,211,"ZAF","South Africa",3,"Gauteng",17,"Sedibeng",64,"Emfuleni",NA,"GT421","Local Municipality","Local Municipality","",""
65,211,"ZAF","South Africa",3,"Gauteng",17,"Sedibeng",65,"Midvaal",NA,"GT422","Local Municipality","Local Municipality","",""
66,211,"ZAF","South Africa",3,"Gauteng",18,"West Rand",66,"Merafong City",NA,"GT484","Local Municipality","Local Municipality","",""
67,211,"ZAF","South Africa",3,"Gauteng",18,"West Rand",67,"Mogale City",NA,"GT481","Local Municipality","Local Municipality","",""
68,211,"ZAF","South Africa",3,"Gauteng",18,"West Rand",68,"Randfontein",NA,"GT482","Local Municipality","Local Municipality","",""
69,211,"ZAF","South Africa",3,"Gauteng",18,"West Rand",69,"Westonaria",NA,"GT483","Local Municipality","Local Municipality","",""
70,211,"ZAF","South Africa",4,"KwaZulu-Natal",19,"Amajuba",70,"Dannhauser",NA,"KZN254","Local Municipality","Local Municipality","",""
71,211,"ZAF","South Africa",4,"KwaZulu-Natal",19,"Amajuba",71,"Emadlangeni",NA,"KZN253","Local Municipality","Local Municipality","",""
72,211,"ZAF","South Africa",4,"KwaZulu-Natal",19,"Amajuba",72,"Newcastle",NA,"KZN252","Local Municipality","Local Municipality","",""
73,211,"ZAF","South Africa",4,"KwaZulu-Natal",20,"eThekwini",73,"Ethekwini",NA,"ETH","Metropolitan Municipality","Metropolitan Municipality","",""
74,211,"ZAF","South Africa",4,"KwaZulu-Natal",21,"iLembe",74,"KwaDukuza",NA,"KZN292","Local Municipality","Local Municipality","",""
75,211,"ZAF","South Africa",4,"KwaZulu-Natal",21,"iLembe",75,"Mandeni",NA,"KZN291","Local Municipality","Local Municipality","",""
76,211,"ZAF","South Africa",4,"KwaZulu-Natal",21,"iLembe",76,"Maphumulo",NA,"KZN294","Local Municipality","Local Municipality","",""
77,211,"ZAF","South Africa",4,"KwaZulu-Natal",21,"iLembe",77,"Ndwedwe",NA,"KZN293","Local Municipality","Local Municipality","",""
78,211,"ZAF","South Africa",4,"KwaZulu-Natal",22,"Sisonke",78,"Greater Kokstad",NA,"KZN433","Local Municipality","Local Municipality","",""
79,211,"ZAF","South Africa",4,"KwaZulu-Natal",22,"Sisonke",79,"Ingwe",NA,"KZN431","Local Municipality","Local Municipality","",""
80,211,"ZAF","South Africa",4,"KwaZulu-Natal",22,"Sisonke",80,"Kwa Sani",NA,"KZN432","Local Municipality","Local Municipality","",""
81,211,"ZAF","South Africa",4,"KwaZulu-Natal",22,"Sisonke",81,"Ubuhlebezwe",NA,"KZN434","Local Municipality","Local Municipality","",""
82,211,"ZAF","South Africa",4,"KwaZulu-Natal",22,"Sisonke",82,"Umzimkhulu",NA,"KZN435","Local Municipality","Local Municipality","",""
83,211,"ZAF","South Africa",4,"KwaZulu-Natal",23,"Ugu",83,"Ezingoleni",NA,"KZN215","Local Municipality","Local Municipality","",""
84,211,"ZAF","South Africa",4,"KwaZulu-Natal",23,"Ugu",84,"Hibiscus Coast",NA,"KZN216","Local Municipality","Local Municipality","",""
85,211,"ZAF","South Africa",4,"KwaZulu-Natal",23,"Ugu",85,"Umdoni",NA,"KZN212","Local Municipality","Local Municipality","",""
86,211,"ZAF","South Africa",4,"KwaZulu-Natal",23,"Ugu",86,"UMuziwabantu",NA,"KZN214","Local Municipality","Local Municipality","",""
87,211,"ZAF","South Africa",4,"KwaZulu-Natal",23,"Ugu",87,"Umzumbe",NA,"KZN213","Local Municipality","Local Municipality","",""
88,211,"ZAF","South Africa",4,"KwaZulu-Natal",23,"Ugu",88,"Vulamehlo",NA,"KZN211","Local Municipality","Local Municipality","",""
89,211,"ZAF","South Africa",4,"KwaZulu-Natal",24,"Umgungundlovu",89,"Impendle",NA,"KZN224","Local Municipality","Local Municipality","",""
90,211,"ZAF","South Africa",4,"KwaZulu-Natal",24,"Umgungundlovu",90,"Mkhambathini",NA,"KZN226","Local Municipality","Local Municipality","",""
91,211,"ZAF","South Africa",4,"KwaZulu-Natal",24,"Umgungundlovu",91,"Mpofana",NA,"KZN223","Local Municipality","Local Municipality","",""
92,211,"ZAF","South Africa",4,"KwaZulu-Natal",24,"Umgungundlovu",92,"Richmond",NA,"KZN227","Local Municipality","Local Municipality","",""
